Date,Open,High,Low,Close,Adj Close,Volume
2017-04-18,132.009995,132.800003,131.800003,132.300003,132.300003,3617400
2017-04-19,132.639999,133.000000,132.339996,132.639999,132.639999,3132800
2017-04-20,132.649994,133.440002,132.639999,133.270004,133.270004,2697300
2017-04-21,133.550003,133.880005,133.149994,133.410004,133.410004,3466100
2017-04-24,134.240005,134.759995,133.259995,134.229996,134.229996,5041000
2017-04-25,138.139999,141.990005,137.179993,141.699997,141.699997,10893800
2017-04-26,141.699997,142.000000,140.339996,140.839996,140.839996,7132200
2017-04-27,141.880005,142.789993,140.850006,140.869995,140.869995,5183700
2017-04-28,140.389999,140.759995,139.779999,139.929993,139.929993,4779900
2017-05-01,139.860001,141.449997,139.839996,141.149994,141.149994,3747200
2017-05-02,140.979996,141.809998,140.720001,141.229996,141.229996,3774100
2017-05-03,142.199997,142.699997,141.399994,142.619995,142.619995,4278400
2017-05-04,142.619995,143.669998,142.259995,143.449997,143.449997,4178800
2017-05-05,143.419998,143.979996,142.580002,143.960007,143.960007,2452700
2017-05-08,143.929993,144.500000,143.660004,144.240005,144.240005,2813000
2017-05-09,144.089996,144.979996,144.000000,144.360001,144.360001,3053800
2017-05-10,143.860001,144.639999,143.729996,144.520004,144.520004,2273300
2017-05-11,144.080002,144.410004,143.399994,144.210007,144.210007,1941900
2017-05-12,144.500000,145.500000,144.460007,145.360001,145.360001,2747900
2017-05-15,145.429993,146.399994,145.429993,146.279999,146.279999,3332800
2017-05-16,146.550003,147.669998,146.279999,147.289993,147.289993,3540900
2017-05-17,147.289993,147.460007,146.240005,146.410004,146.410004,3868800
